trade_no,entry_time_utc,exit_time_utc,symbol,direction,regime,score,entry,stop,leverage,risk_pct_price,r_multiple,account_pct,outcome,mfe_r,mae_r,equity,drawdown_pct,notes
89,2025-12-13 02:45,2025-12-13 10:30,BTCUSDT,short,trend_down,8.850000000000001,90195.0,90537.6143715939,40,0.37985960595808643,-1.210604125169411,-0.4237114438092939,stop,0.08668638113990376,1.1791682821725438,111.20131313689559,-0.4237114438092937,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
90,2025-12-15 13:15,2025-12-15 15:00,BNBUSDT,short,trend_down,8.850000000000001,887.24,894.2278,20,0.787588476624137,1.7284241105927474,0.6049484387074616,tp_final,3.7121840922751197,0.519476802427087,111.87402374453944,0.0,BNBUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
91,2025-12-16 02:45,2025-12-16 10:30,BTCUSDT,short,trend_down,7.65,85901.6,86613.62197243929,20,0.8288809200751568,-1.0965156731955492,-0.38378048561844225,stop,0.9488471229132173,1.9469904773454274,111.44467307293175,-0.3837804856184457,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / 量能实体合格 / 目标RR>=2
92,2025-12-17 04:00,2025-12-17 13:00,BTCUSDT,short,trend_down,7.95,87288.4,87963.996,20,0.7739814225028814,0.41913834599376343,0.1466984210978172,breakeven_or_trailing_stop,1.6725972326656635,0.04322109663173172,111.60816064872738,-0.23764506443350042,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
93,2025-12-18 04:00,2025-12-18 09:15,XRPUSDT,short,trend_down,7.65,1.8573,1.872807857142857,20,0.834967810416038,0.42668792317258264,0.14934077311040392,breakeven_or_trailing_stop,2.063470130348682,0.1805536364055183,111.77483713869448,-0.0886591922995894,XRPUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / 量能实体合格 / 目标RR>=2
94,2025-12-19 02:30,2025-12-19 03:15,BNBUSDT,short,trend_down,7.95,826.5,833.1231,20,0.801343012704177,-1.0998324047651398,-0.3849413416677989,stop,0.01509866980719337,1.9764158777611673,111.3445695809658,-0.47325924808303554,BNBUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
95,2025-12-23 04:45,2025-12-23 14:45,BNBUSDT,short,trend_down,7.95,855.35,860.4582285714285,30,0.5972091624982202,1.6960435823433329,0.5936152538201664,tp_final,3.410184128688771,0.08417790903191703,112.00552793029881,0.0,BNBUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 目标RR>=2
96,2025-12-24 03:15,2025-12-24 14:45,BTCUSDT,short,trend_down,7.65,87195.0,87895.43228571428,20,0.8032940945172123,0.4229100732894302,0.14801852565130058,breakeven_or_trailing_stop,1.1992593961361862,0.36406088811277076,112.17131686138919,0.0,BTCUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / 量能实体合格 / 目标RR>=2
97,2025-12-26 14:30,2025-12-26 15:00,BNBUSDT,short,trend_down,7.8500000000000005,839.44,844.0957857142857,30,0.5546299573865534,1.6857596845706562,0.5900158895997296,tp_final,3.9585155183259313,0.008591460701730478,112.83314545444463,0.0,BNBUSDT:4H空头 / 1H趋势状态确认 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
98,2025-12-27 02:00,2025-12-27 05:45,BNBUSDT,short,trend_down,8.850000000000001,835.14,836.9404142857143,50,0.21558233179039232,-1.371087924207921,-0.47988077347277236,stop,0.39990795769229304,1.2719294765490303,112.29168088330418,-0.4798807734727739,BNBUSDT:4H空头 / 1H趋势状态确认 / 15m在日内VWAP下方且VWAP下行 / 15m反抽EMA20/VWAP后跌回 / CVD多周期顺势 / 量能实体合格 / 目标RR>=2
