entry_time_utc,exit_time_utc,dir,score,entry,stop,risk_pct,leverage,r,account_pct,outcome,mfe_r,mae_r,notes
2025-08-08T07:15:00,2025-08-08T10:45:00,long,8.5,116917,116320.52,0.5102,30,-1.1568,-0.4049,stop,0,1.108,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-08-09T07:00:00,2025-08-09T15:15:00,long,7.5,116690.4,116273.36,0.3574,40,0.8762,0.3067,breakeven_or_trailing_stop,2.917,0.217,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-10T07:45:00,2025-08-11T02:00:00,long,7.5,117770,116956.54,0.6907,20,1.7342,0.607,tp3,4.339,0.247,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-11T10:00:00,2025-08-11T10:45:00,long,7.5,121276.1,121049.38,0.1869,50,-1.4279,-0.4998,stop,0.494,1.447,4H趋势向上; 靠近VWAP/POC/VAL价值区; 扫前低后收回; 量能与实体合格; 关键目标RR>=2
2025-08-12T07:00:00,2025-08-12T09:45:00,long,8.5,119054.3,118341.97,0.5983,30,-1.1337,-0.3968,stop,0.085,1.002,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-08-13T07:45:00,2025-08-13T13:45:00,long,8.5,119540.3,118791.41,0.6265,20,1.7223,0.6028,tp3,3.401,0.176,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-08-14T08:00:00,2025-08-14T10:30:00,long,7.5,121819.7,121266.15,0.4544,30,-1.1761,-0.4116,stop,0.416,1.298,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 关键目标RR>=2
2025-08-15T09:00:00,2025-08-15T12:30:00,long,7.5,118870.3,118536.83,0.2805,50,-1.2852,-0.4498,stop,0.595,1.288,4H趋势向上; 靠近VWAP/POC/VAL价值区; CVD确认或背离; 回收VWAP/POC; 关键目标RR>=2
2025-08-17T16:30:00,2025-08-17T22:45:00,short,7.5,117926.5,118582.83,0.5566,30,0.2563,0.0897,breakeven_or_trailing_stop,1.038,0.028,价格在EMA200下方; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-08-18T14:30:00,2025-08-18T15:30:00,short,7.5,115089,115731.82,0.5585,30,-1.1432,-0.4001,stop,0.352,1.219,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-19T09:45:00,2025-08-19T10:15:00,short,7.5,115281.5,115483.46,0.1752,50,-1.4566,-0.5098,stop,0.08,1.299,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; 跌回VWAP/POC; 关键目标RR>=2
2025-08-20T07:45:00,2025-08-20T08:30:00,short,8.5,113436.7,113830.14,0.3468,50,-1.2307,-0.4307,stop,0.254,1.221,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-08-21T07:15:00,2025-08-22T07:15:00,short,7.5,113668.7,114518.31,0.7474,20,1.1562,0.4047,time_after_tp2,2.03,0.328,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-22T08:30:00,2025-08-22T12:00:00,short,7.5,113049.3,113385.9,0.2977,50,1.5813,0.5535,tp3,3.327,0.13,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 跌回VWAP/POC; 关键目标RR>=2
2025-08-23T09:45:00,2025-08-23T10:45:00,long,9,115740.5,115547.67,0.1666,50,-1.4802,-0.5181,stop,0.05,1.039,价格在EMA200上方; 靠近VWAP/POC/VAL价值区; 扫前低后收回; CVD确认或背离; 回收VWAP/POC; 量能与实体合格; 关键目标RR>=2
2025-08-24T07:30:00,2025-08-24T19:30:00,short,7.5,114961.1,115537.65,0.5015,30,1.6905,0.5917,tp3,7.765,0.125,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
2025-08-25T14:30:00,2025-08-25T14:45:00,short,7.5,111988.9,112257.02,0.2394,50,-1.3341,-0.4669,stop,0.089,1.004,4H趋势向下; 靠近VWAP/POC/VAH价值区; 扫前高后跌回; 量能与实体合格; 关键目标RR>=2
2025-08-26T07:00:00,2025-08-26T07:30:00,short,7.5,109749.7,110353.1,0.5498,30,-1.1455,-0.4009,stop,0.064,1.258,4H趋势向下; 靠近VWAP/POC/VAH价值区; CVD确认或背离; 量能与实体合格; 关键目标RR>=2
